# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 3 34  0.02253 150.09719  0.41138 13.33208  0.54685  4.14631  1.57000  0.01488
 3 35  0.30017  18.98658  0.63733  5.09964  9.99990  0.05421  1.51000  0.01962
 3 36  0.11695  36.53499  0.59186  8.24315  0.29349  2.56472  2.56190  0.02284
 3 37  0.05221  69.07848  0.53615 10.66008  0.40591  3.13390  2.79200  0.02429
 3 38  0.03258 106.02254  0.50246 12.10035  0.45797  3.34848  2.86400  0.02659
 3 39  0.04937  69.98772  0.49642 11.59985  0.45218  3.28037  2.18800  0.02212
 3 40  0.05562  61.68428  0.47508 11.81647  0.47003  3.34892  1.95700  0.02222
 3 41  0.10148  38.42136  0.44127 10.85248  0.46257  3.30528  1.80600  0.01826
 3 42  0.11191  36.61405  0.43702 10.66784  0.46176  3.25544  1.67200  0.01926
 3 43  0.24707  24.23334  0.46349  6.91999  0.31567  2.57469  1.54300  0.01179
 3 44  0.22164  25.91320  0.40888  7.89576  0.38575  3.02672  1.48600  0.01224
 3 45  0.22511  26.02412  0.38440  7.97550  0.40237  3.20749  1.47100  0.01088
 3 46  0.20396  27.94997  0.39319  8.40017  0.40751  3.31303  1.52300  0.01077
 3 47  0.18532  30.24955  0.43941  8.43502  0.37648  3.19138  1.64800  0.01019
 3 48  0.14975  33.95279  0.41269  9.81972  0.43379  3.45688  2.48300  0.01332
 3 49  0.09896  44.26567  0.42616 11.43126  0.46874  3.59087  2.08200  0.01278
 3 50  0.05851  63.08909  0.42707 13.30611  0.50580  3.74366  1.93200  0.01508
 3 51  0.02806 116.41068  0.41926 15.51075  0.54169  3.88327  1.83100  0.01957
 3 52  0.03281 101.02490  0.42296 15.20269  0.53165  3.83347  1.75400  0.01474
 3 53  0.03827  87.62788  0.41769 15.07808  0.52647  3.85988  1.69200  0.01617
 3 54  0.31824  22.32596  0.47135  5.82933  0.21166  2.33292  3.07800  0.01838
 3 55  0.14954  39.15673  0.52372  8.61714  0.32351  2.90067  3.11600  0.02591
 3 56  0.17941  34.70053  0.54751  7.73871  0.27374  2.68231  2.54900  0.02081
 3 57  0.31174  23.48008  0.42556  6.07554  0.26678  2.55173  2.19900  0.01694
 3 58  0.15127  39.74982  0.51159  8.58092  0.33153  3.28676  2.83900  0.02759
 3 59  0.15659  39.44715  0.53315  8.23982  0.30519  3.25453  2.77800  0.02808
 3 60  0.14783  41.28512  0.52856  8.50852  0.31848  3.36557  2.72700  0.02829
 3 61  0.13920  43.28562  0.52595  8.77270  0.32968  3.46408  2.68200  0.02795
 3 62  0.13079  45.49931  0.52440  9.03424  0.33958  3.55422  2.64100  0.02773
 3 63  0.12255  47.96655  0.52633  9.27321  0.34591  3.62550  2.61000  0.02656
 3 64  0.12306  47.11512  0.53987  9.15765  0.33408  3.58446  2.80600  0.02155
 3 65  0.11635  50.58772  0.54212  9.36798  0.33657  3.67072  2.56500  0.02604
 3 66  0.11126  52.55799  0.54569  9.52875  0.33817  3.70880  2.54400  0.02705
 3 67  0.10424  55.47108  0.54955  9.75125  0.34138  3.74349  2.52200  0.02804
 3 68  0.09826  58.59986  0.55882  9.88792  0.33819  3.74136  2.50100  0.02939
 3 69  0.10258  56.82131  0.57231  9.70871  0.32050  3.66008  2.48200  0.02575
 3 70  0.11615  50.37670  0.59769  9.25744  0.28100  3.45083  2.86100  0.01187
 3 71  0.08645  65.57775  0.58340 10.11264  0.32829  3.54873  2.18000  0.02452
 3 72  0.09533  59.75884  0.57408 10.18992  0.33057  3.53332  1.96000  0.01989
 3 73  0.09245  61.03745  0.56954 10.42689  0.33997  3.53257  1.81900  0.02030
 3 74  0.11030  53.04604  0.58484  9.85965  0.31120  3.30107  1.69300  0.01712
 3 75  0.14746  42.03168  0.59013  8.98366  0.27215  3.05048  1.57700  0.00832
 3 76  0.12795  46.57997  0.56038  9.77450  0.31713  3.38164  1.53100  0.00916
 3 77  0.13054  45.62987  0.54415  9.92657  0.32920  3.48608  1.52400  0.00726
 3 78  0.14509  42.39860  0.55347  9.51286  0.30255  3.37960  1.58200  0.00750
 3 79  0.16011  39.85002  0.58830  8.92171  0.25376  3.01362  1.69600  0.00838
 3 80  0.12514  47.57156  0.56773 10.02536  0.30505  3.34052  2.49300  0.01025
 3 81  0.09977  57.18632  0.56759 10.80601  0.32917  3.44122  2.14000  0.00994
 3 82  0.07164  75.62981  0.56686 11.85779  0.35679  3.52848  2.00900  0.01342
 3 83  0.05820  90.36633  0.55265 12.69363  0.38266  3.66366  1.91300  0.01522
 3 84  0.05288  98.17381  0.54672 13.14789  0.39267  3.68648  1.84300  0.01276
 3 85  0.05948  86.51649  0.54033 13.06458  0.38982  3.68655  1.78500  0.01352
 3 86  0.42386  19.25948  0.42363  5.82430  0.15306  2.29521  3.15300  0.01709
 3 87  0.24014  28.30245  0.46936  8.99330  0.28703  2.98969  3.07900  0.01883
 3 88  0.38914  20.87237  0.42178  6.39252  0.19087  2.42801  2.53500  0.01747
 3 89  0.39081  20.70511  0.40497  6.50650  0.20660  2.50987  2.28800  0.01647
 3 90  0.41201  20.09180  0.39599  6.18087  0.19644  2.43332  2.12100  0.01553
 3 91  0.43172  20.33664  0.54616  4.77671  9.99990  0.03248  1.96900  0.01544
 3 92  0.42267  20.96513  0.55655  4.83734  9.99990  0.03144  1.92100  0.01485
 4  4  0.69255   6.25195  0.31243  1.79449  0.00000  1.00000  3.17900  0.03807
 4  5  0.82804   5.85626  9.99990  0.10806  0.00000  1.00000  1.51200  0.02314
 4  6  0.85301   5.97250  9.99990  0.10443  0.00000  1.00000  1.21900  0.01964
 4  7  0.77830   6.95170  9.99990  0.15807  0.00000  1.00000  1.04100  0.02995
